"","3088","8806","19893","24559","45388","49842","82151","102816","105014","119875","123127","125973","134727","138783","141540","241240","256439","266046","279836","287459","374551","608210","618487","628503","673596","683864","698037","715055","718781","727989","728073","733504","743414","750691","756645","757441","758186","758253","758487","759614","759857","760087"
"HT29",4.368,4.374,6.754,8,4.06,8,7.405,5.841,5.011,4.402,6.907,8,4.535,4,4.124,4,7.932,6.756,6.869,5.696,5.58,8,8,8,7.36,6.741,4,5.394,4.166,5.879,6.241,5.594,5.401,6.089,5.959,4.848,5.781,7.738,6.575,5.382,5.065,8
"IGROV1",4.34,4.692,5.912,6.749,4.054,8,7.473,6.004,4.336,5.032,6.767,7.743,4.535,4.155,4.146,4,7.417,5.733,7.039,4.422,5.695,7.867,8,8,6.647,8,4,6.728,6.55,6.471,6.467,8,4.674,6.567,5.41,4.534,5.898,7.547,6.565,5.021,4.134,6.466
"K-562",4.574,4.422,5.446,7.962,4.736,8,8,6.344,5.129,4.577,6.711,7.901,4,4,4.217,4,7.963,6.068,7.13,6.321,5.57,8,8,8,7.601,7.643,7.588,5.642,4.464,5.702,NA,5.618,7.627,5.498,6.642,6.494,6.243,7.534,8,NA,5.421,8
"KM12",4.402,4.37,6.671,8,4.019,8,7.274,5.913,4.363,4.405,6.575,8,4.159,4,4.25,4,7.777,4.962,6.657,4.861,5.407,8,8,8,7.106,5.663,4,5.092,4.082,5.664,6.425,5.926,4.725,5.903,7.368,6.117,6.135,7.487,7.27,5.218,4.527,8
"LOX IMVI",4.994,4.924,6.609,8,4.921,8,8,6.401,5.51,5.178,7.183,8,4.859,4.231,4.537,4,7.98,5.948,7.67,6.082,5.76,8,8,7.233,8,8,7.129,5.052,5.234,5.746,7.889,8,4.742,5.991,5.852,5.276,6.535,7.882,6.897,6.494,6.33,8
"M14",4.702,NA,6.005,NA,4.411,8,7.086,5.807,6.731,4.981,6.755,7.987,4.941,4.184,4.294,4,7.838,5.142,6.738,6.989,5.309,7.989,NA,8,8,4.797,4,5.255,5.216,5.592,7.893,5.506,4.715,5.856,5.795,4.943,5.859,7.641,6.79,6.379,7.057,7.611
"MALME-3M",4.254,4.738,7.291,8,4.375,8,7.645,5.765,4,4.908,6.905,6.341,4.675,4.305,4.393,4,8,5.493,6.808,7.13,5.307,8,8,NA,7.089,8,4,5.512,5.796,5.692,6.483,8,4.787,5.677,5.864,4.756,5.438,7.708,6.713,5.395,4.362,NA
"MCF7",NA,5.158,7.1,8,4.051,8,8,6.099,5.446,4.908,7.563,8,NA,4.16,6.234,NA,8,6.649,8,7.389,5.576,8,8,8,8,8,7.833,4.972,4,5.662,7.934,8,4.739,5.652,6.323,4.911,5.905,8,6.12,6.431,6.733,8
"MDA-MB-231/ATCC",NA,NA,5.18,NA,4,8,6.931,6.153,4.098,4.124,6.295,8,NA,4.158,5.419,NA,7.023,4,6.707,4,5.531,7.744,NA,8,6.281,5.581,4.987,4.878,5.196,5.384,5.402,4.935,4.729,5.922,5.778,4.262,5.792,7.061,6.667,6.16,4.831,7.676
"MDA-MB-435",NA,NA,7.135,NA,NA,8,6.937,5.83,6.268,4.609,6.604,7.892,NA,4.122,4.658,NA,7.171,6.239,6.587,6.173,5.51,8,NA,8,7.473,5.601,4,5.499,4.749,5.359,6.765,7.479,4.747,6.22,6.102,4.842,6.023,7.555,6.586,6.215,6.314,8
"MDA-MB-468",NA,NA,NA,NA,NA,NA,NA,5.849,4.247,5.196,7.262,8,NA,4.766,NA,NA,7.926,NA,NA,4.214,NA,8,NA,NA,8,NA,NA,8,6.858,7.243,NA,7.934,NA,8,5.889,5.427,5.989,7.99,6.336,6.69,6.413,8
"MDA-N",NA,NA,NA,NA,4,8,7.13,NA,NA,4.906,6.736,8,NA,NA,4.73,NA,7.585,NA,6.585,NA,5.56,NA,NA,NA,5.717,5.395,4,NA,4.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOLT-4",5.669,5.839,6.451,8,4.66,8,8,5.603,6.631,4.877,7.502,7.805,4.454,5.444,5.582,4,8,6.865,8,7.74,5.954,8,8,7.2,8,8,7.158,5.407,4.553,5.533,NA,6.977,5.29,5.615,6.108,5.413,5.468,7.865,6.456,5.631,7.482,8
"NCI/ADR-RES",NA,4.495,6.497,6.385,4.176,7.346,5.261,5.828,6.958,4.696,5.145,5.715,NA,4.008,4,NA,6.573,7.498,5.852,6.274,5.567,5.801,8,6.168,7.503,5.994,5.52,4.876,5.067,5.538,7.685,5.487,4.639,5.644,5.16,5.083,5.92,6.03,6.376,5.557,7.303,5.733
"NCI-H226",4.672,4.575,4.262,8,4.125,8,7.473,5.958,4.92,4.594,7.301,6.014,4.772,4.179,4.254,4,7.965,5.593,8,6.196,5.29,7.52,8,6.436,8,7.729,4,4.81,4.37,4,7.668,6.457,4.742,5.69,5.744,6.109,5.856,7.951,7.124,5.923,6.483,NA
"NCI-H23",5.063,4.902,6.475,8,4.03,8,7.797,5.515,6.331,5.412,6.821,7.939,5.306,4.126,4.343,4,7.922,5.754,7.765,6.594,5.686,7.729,8,8,8,5.874,4,4.774,4.549,5.107,7.705,6.488,4.825,5.708,5.683,4.87,5.408,7.609,6.399,5.507,6.978,7.873
"NCI-H322M",4.368,4.28,6.746,8,4.026,8,6.788,6.36,4.721,4.507,6.266,8,4.377,4.036,4.028,4,7.105,4.452,6.462,4.55,5.174,8,7.88,8,7.148,5.235,4,7.07,7.009,6.729,6.403,6.654,4.642,6.991,5.285,4.365,6.016,7.08,6.305,5.337,5.922,NA
"NCI-H460",5.489,5.423,7.248,8,4.233,8,8,6.576,5.264,5.627,7.755,8,5.3,4.232,4.999,4,8,6.361,8,6.943,5.334,8,8,8,8,NA,7.445,5.177,5.234,5.387,7.986,6.827,4.791,5.542,6.049,5.491,6.635,8,6.474,5.324,6.432,8
"NCI-H522",5.226,4.842,5.138,8,4.155,8,7.499,5.72,5.128,5.043,7.536,8,4.84,4.031,4.338,4,7.867,5.406,7.635,5.094,6.032,7.644,8,8,7.759,6.919,4,5.169,6.023,6.401,5.638,6.787,4.785,7.724,5.816,5.906,5.891,8,6.496,5.276,5.294,8
"OVCAR-3",4.76,4.982,7.795,8,4.251,8,6.964,5.716,4.432,4.99,6.411,7.849,4.163,4.179,4.132,4,7.426,5.244,6.443,5.428,5.593,8,8,8,7.188,5.751,4,5.317,5.439,5.613,6.387,8,4.466,6.635,5.367,4.825,5.806,7.544,6.105,6.118,4,8
"OVCAR-4",4.381,4.731,5.353,8,4.435,5.726,6.77,5.729,4,4.934,6.427,5.826,4.182,4,4.01,4,7.179,5.388,6.463,4,5.404,8,8,4.661,6.566,8,4,5.056,4.999,5.108,5.383,7.906,4.698,6.039,5.605,5.427,6.251,7.655,6.767,4.15,4,8
